doi,标题,期刊,年份,作者
10.1038/s41586-020-2237-5,Publisher Correction: Tunable correlated Chern insulator and ferromagnetism in a moiré superlattice,Nature,2020,"Chen, Guorui,Sharpe, Aaron L.,Fox, Eli J.,Zhang, Ya-Hui,Wang, Shaoxin,Jiang, Lili,Lyu, Bosai,Li, Hongyuan,Watanabe, Kenji,Taniguchi, Takashi,Shi, Zhiwen,Senthil, T.,Goldhaber-Gordon, David,Zhang, Yuanbo,Wang, Feng"
10.1038/s41586-020-2237-5,"Tunable Correlated Chern Insulator And Ferromagnetism In A Moire Superlattice (Vol 579, Pg 56, 2020)",NATURE,2020,"Guorui Chen,Aaron L. Sharpe,Eli J. Fox,Ya-Hui Zhang,Shaoxin Wang,Lili Jiang,Bosai Lyu,Hongyuan Li,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,T. Senthil,David Goldhaber-Gordon,Yuanbo Zhang,Feng Wang"
,Proving High Temperature Superconductivity in Monolayer Bi 2 Sr 2-x La x CuO 6+δ,Bulletin of the American Physical Society,2020,"Hengsheng Luo,Liguo Ma,Yijun Yu,Peng Cai,Dongjoon Song,Ruidan Zhong,Jian Shen,Genda Gu,Hiroshi Eisaki,Xianhui Chen,Yuanbo Zhang"
10.1126/science.aax8156,Quantum Anomalous Hall Effect In Intrinsic Magnetic Topological Insulator Mnbi2te4,SCIENCE,2020,"Yujun Deng,Yijun Yu,Meng Zhu Shi,Zhongxun Guo,Zihan Xu,Jing Wang,Xian Hui Chen,Yuanbo Zhang"
10.1038/s41563-019-0600-4,Coexistence of large conventional and planar spin Hall effect with long spin diffusion length in a low-symmetry semimetal at room temperature.,NATURE MATERIALS,2020,"Peng Song,Chuang-Han Hsu,Giovanni Vignale,Meng Zhao,Jiawei Liu,Yujun Deng,Wei Fu,Yanpeng Liu,Yuanbo Zhang,Hsin Lin,Vitor M Pereira,Kian Ping Loh"
10.1103/PhysRevLett.124.126402,Flat Chern Band From Twisted Bilayer MnBi$_2$Te$_4$,PHYSICAL REVIEW LETTERS,2020,"Lian Biao,Liu Zhaochen,Zhang Yuanbo,Wang Jing"
,Evidence of Gate-Tunable Mott Insulator in Trilayer Graphene-Boron Nitride Moir'e Superlattice.,arXiv: Mesoscale and Nanoscale Physics,2019,"Guorui Chen,Lili Jiang,Shuang Wu,Bosai Lyu,Hongyuan Li,Bheema Lingam Chittari,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,Jeil Jung,Yuanbo Zhang,Feng Wang"
,Gate-Tunable Mott Insulator in Trilayer Graphene-Boron Nitride Moir\'e Superlattice,Bulletin of the American Physical Society,2019,"Guorui Chen,Lili Jiang,Shuang Wu,Bosai Lv,Hongyuan Li,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,Yuanbo Zhang,Feng Wang"
,Magnetic-field-induced quantized anomalous Hall effect in intrinsic magnetic topological insulator MnBi$_2$Te$_4$,arXiv: Materials Science,2019,"Yujun Deng,Yijun Yu,Meng Zhu Shi,Jing Wang,Xian Hui Chen,Yuanbo Zhang"
10.3969/j.issn.1009-2412.2019.01.004,Progress in the Study of Spin States Control Via Spa- tial Confinement in Correlated Electronic Materi- als and their Applications in Spintronic Devices,China Basic Science,2019,"Jirong Sun,Yuanbo Zhang,Zhaohua Cheng,Yang Sun,Richeng Yu,Banggui Liu,Yuansha Chen,Lifeng Yin,Jiang Xiao,Hua Wu,Wenbin Wang,Tai Min,Fei Ma,Yizheng Wu,Xiaofeng Jin,Haibin Zhao,Jian Shen"
,Tunable Correlated Chern Insulator and Ferromagnetism in Trilayer Graphene/Boron Nitride Moir'e Superlattice,arXiv: Mesoscale and Nanoscale Physics,2019,"Guorui Chen,Aaron L. Sharpe,Eli J. Fox,Ya-Hui Zhang,Shaoxin Wang,Lili Jiang,Bosai Lyu,Hongyuan Li,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,T. Senthil,David Goldhaber-Gordon,Yuanbo Zhang,Feng Wang"
10.1021/acs.nanolett.9b02298,Mapping Dynamical Magnetic Responses of Ultra-thin Micron-size Superconducting Films using Nitrogen-vacancy Centers in Diamond.,NANO LETTERS,2019,"Ying Xu,Yijun Yu,Yuen Yung Hui,Yudan Su,Jun Cheng,Huan-Cheng Chang,Yuanbo Zhang,Y.Ron Shen,Chuanshan Tian"
10.1038/s41586-019-1393-y,Signatures of tunable superconductivity in a trilayer graphene moiré superlattice.,NATURE,2019,"Guorui Chen,Aaron L Sharpe,Patrick Gallagher,Ilan T Rosen,Eli J Fox,Lili Jiang,Bosai Lyu,Hongyuan Li,Kenji Watanabe,Takashi Taniguchi,Jeil Jung,Zhiwen Shi,David Goldhaber-Gordon,Yuanbo Zhang,Feng Wang"
10.1038/s41586-019-1718-x,High-temperature superconductivity in monolayer Bi 2 Sr 2 CaCu 2 O 8+δ .,NATURE,2019,"Yijun Yu,Liguo Ma,Peng Cai,Ruidan Zhong,Cun Ye,Jian Shen,G D Gu,Xian Hui Chen,Yuanbo Zhang"
10.1038/s41567-018-0387-2,Evidence of a gate-tunable Mott insulator in a trilayer graphene moiré superlattice,NATURE PHYSICS,2019,"Guorui Chen,Lili Jiang,Shuang Wu,Bosai Lyu,Hongyuan Li,Bheema Lingam Chittari,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,Jeil Jung,Yuanbo Zhang,Feng Wang"
10.7693/wl20190203,新型磁性二维材料Fe3GeTe2及其室温磁性调控,Physics,2019,"邓雨君,於逸骏,张远波"
10.1016/j.scib.2018.11.006,Magnetic field-induced electronic phase transition in the Dirac semimetal state of black phosphorus under pressure,Science Bulletin,2018,"Zeliang Sun,Ziji Xiang,Zhongyi Wang,Jinglei Zhang,Long Ma,Naizhou Wang,Chao Shang,Fanbao Meng,Liangjian Zou,Yuanbo Zhang,Xianhui Chen"
10.1021/acs.nanolett.8b03267,Quantum Hall Effect in Electron-doped Black Phosphorus Field-effect Transistors.,NANO LETTERS,2018,"Fangyuan Yang,Zuocheng Zhang,Nai Zhou Wang,Guo Jun Ye,Wenkai Lou,Xiaoying Zhou,Kenji Watanabe,Takashi Taniguchi,Kai Chang,Xian Hui Chen,Yuanbo Zhang"
10.1038/s41586-018-0626-9,Gate-tunable room-temperature ferromagnetism in two-dimensional FeGeTe.,NATURE,2018,"Yujun Deng,Yijun Yu,Yichen Song,Jingzhao Zhang,Nai Zhou Wang,Zeyuan Sun,Yangfan Yi,Yi Zheng Wu,Shiwei Wu,Junyi Zhu,Jing Wang,Xian Hui Chen,Yuanbo Zhang"
10.1103/PhysRevLett.122.016401,"Gate-Tunable Topological Flat Bands in Trilayer Graphene-Boron Nitride
  Moir\'e Superlattices",Bulletin of the American Physical Society,2018,"Bheema Lingam Chittari,Guorui Chen,Yuanbo Zhang,Feng Wang,Jeil Jung"
10.1021/acs.nanolett.7b02624,Strain-modulated Bandgap and Piezo-resistive Effect in Black Phosphorus Field-effect Transistors.,NANO LETTERS,2017,"Zuocheng Zhang,Likai Li,Jason Horng,Nai Zhou Wang,Fangyuan Yang,Yijun Yu,Yu Zhang,Guorui Chen,Kenji Watanabe,Takashi Taniguchi,Xian Hui Chen,Feng Wang,Yuanbo Zhang"
,Towards tunable black phosphorus field-effect transistors,Bulletin of the American Physical Society,2017,"Zuocheng Zhang,Likai Li,Jason Horng,Naizhou Wang,Fangyuan Yang,Yu Zhang,Yijun Yu,Guorui Chen,Kenji Watanabe,Takashi Taniguchi,Xianhui Chen,Feng Wang,Yuanbo Zhang"
10.1088/1361-6463/aa4e8b,Emergent elemental two-dimensional materials beyond graphene,JOURNAL OF PHYSICS D-APPLIED PHYSICS,2017,"Yuanbo Zhang,Angel Rubio,Guy Le Lay"
10.7693/wl20170401,From two-dimensional materials to van der Waals heterostructures,Physics,2017,"Yi-Jun YU,Yuan-Bo ZHANG"
10.1103/PhysRevB.95.020503,Tuning Phase Transitions In Fese Thin Flakes By Field-Effect Transistor With Solid Ion Conductor As The Gate Dielectric,PHYSICAL REVIEW B,2017,"Bin Lei,N. Z. Wang,C. Shang,F. B. Meng,L. K. Ma,X. Luo,T. Wu,Zhe Sun,Ying Wang,Z. Jiang,B. H. Mao,Zheng Liu,Y. J. Yu,Y. B. Zhang,X. H. Chen"
